title,org,category,tags,source_of_finance,project_title,eligibility,contractor_class,performance_period,place_of_performance,dossier_fee,pre_bid_meeting,contact_email,created_date,submission_deadline,submission_time,pdf_url,pdf_accessible,description,detail_url
SAA - Procurement of Vehicles,Seychelles Airports Authority,Infrastructure,Vehicles,Seychelles Airports Authority (SAA),Procurement of Vehicles,,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,08 May 2025.,2025-05-26,10:00,https://www.ntb.sc/media/tender-files/Advert_Procurement_of_Vehicle_V2.docx,False,"Posted in Advertised Tenders . The Seychelles Airports Authority invites tenders to bid for the Procurement of Vehicles divided into three (3) lots. • Lot 1 – Three (3) Compact SUV Vehicles - Automatic Transmission • Lot 2 – Four (4) Twin cab - Automatic Transmission • Lot 3 – Three (3) Mini Van / Mini Bus - Automatic Transmission Source of Finance : Seychelles Airports Authority (SAA) Project Title : Procurement of Vehicles Eligibility : The following are eligible to tender on equal terms. All Valid Licensed Motor Vehicle dealers operating in Seychelles. Period of Delivery : Within six (6) months from the date of confirmation of award Access to tender Dossier: The Tender Dossiers can be obtained at the Seychelles Airports Authority at the Sunshine House, First Floor, Providence Industrial Zone, Mahe or it can be requested via email This email address is being protected from spambots. You need JavaScript enabled to view it. as of Friday 9th May to Thursday 15th May 2025 from 9:00am to 3:00pm. No bidding documents shall be made available past this deadline period. Note: The tender documents are to be given for free The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/saa-procurement-of-vehicles
PMC - Procurement of One 5-Seater SUV,Property Management Corporation,Infrastructure,Vehicles,Property Management Corporation,Procurement of one Hybrid Sport Utility Vehicle (SUV),The following are eligible to tender on equal terms. All licensed and registered Motor Vehicle dealers operating in Seychelles.,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,05 May 2025.,2025-05-21,11:00,https://www.ntb.sc/media/tender-files/Advert-_Procurement_of_vehicle_for_the_Property_Management_Corporation_Final.pdf,True,"Posted in Advertised Tenders . The Property Management Corporation (PMC) invites tenders for the Procurement of One (1) Hybrid Sport Utility Vehicle (SUV) Source Of Finance: Property Management Corporation Project Title: Procurement of one Hybrid Sport Utility Vehicle (SUV) Eligibility: The following are eligible to tender on equal terms. All licensed and registered Motor Vehicle dealers operating in Seychelles. Subject Vehicle is to be used for site visits by the Technical teams. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/pmc-procurement-of-one-5-seater-suv
SWC - Procurement of Consultancy Services to Review the Existing Social Worker’s Council Act and Regulations.,,Infrastructure,Good and Services,,,,,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,29 April 2025.,2025-05-21,10:30,,False,"Posted in Advertised Tenders . Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/swc-procurement-of-consultancy-services-to-review-the-existing-social-workers-council-act-and-regulations
SIB-Procurement of One 7-Seater MPV,,Infrastructure,Vehicles,Government Budget,Procurement of One (1) 7 Seater (Economy car).,,,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,29 April 2025.,2025-05-19,11:00,,False,"Posted in Advertised Tenders . The Seychelles Investment Board (SIB) invites tenders for “Procurement of One 7-Seater MPV” Source of Finance : Government Budget Project Title  : Procurement of One (1) 7 Seater (Economy car). Eligibility : The following are eligible to tender on equal terms. All license  And registered Motor Vehicle dealers operating in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/sib-procurement-of-one-7-seater-mpv
"Construction Of New Health Center At Ile Soleil, Anse Aux Pins",Seychelles Infrastructure Agency,Infrastructure,,Government of Seychelles,,The following are eligible to tender on equal terms. Contractors Class 1 registered and licensed to operate in Seychelles.,Class 1,40 Calendar Weeks,"Ile Soleil, Anse Aux Pins",SR 350.00,"9th May 2025
at 10:00 am",ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,25 April 2025.,2025-05-21,10:00,https://www.ntb.sc/media/tender-files/ADVERT_-_CONSTRUCTION_OF_HEALTH_CENTER_ILE_SOLEIL_ANSE_AUX_PINS_FINAL.pdf,True,"Posted in Advertised Tenders . Seychelles Infrastructure Agency  invitation to tender Construction Of New Health Center At Ile Soleil, Anse Aux Pins Source Of Finance: Government of Seychelles The following are eligible to tender on equal terms. Contractors Class 1 registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/construction-of-new-health-center-at-ile-soleil-anse-aux-pins
Convertion Of Office To Two Bedroom House At Petit Paris - Cascade,Seychelles Infrastructure Agency,Housing,,GOVERNMENT OF SEYCHELLES,,The following are eligible to tender on equal terms. Contractors Class 2 and 3 registered and licensed to operate in Seychelles.,Class 2,8 Calendar Weeks (56 calendar days),"PETIT PARIS,- CASCADE",SR 200.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,22 April 2025.,2025-05-14,10:30,https://www.ntb.sc/media/tender-files/ADVERT_003.pdf,True,"Posted in Advertised Tenders . Seychelles Infrastructure Agency invitation to tender Conversion Of Office To Two Bedroom House At Petit Paris - Cascade Source Of Finance: GOVERNMENT OF SEYCHELLES The following are eligible to tender on equal terms. Contractors Class 2 and 3 registered and licensed to operate in Seychelles. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/convertion-of-office-to-two-bedroom-house-at-petit-paris-cascade
Re- Roofing Works On Fourteen (14) Units At Ex Ltd Cascade,Property Management Corporation,Infrastructure,,PROPERTY MANAGEMENT CORPORATION (PMC),Re- Roofing Works On Fourteen (14) Units At Ex Ltd Cascade,,class Two,Two (2) Months SALE OF TENDER DOCUMENTS & CLOSING DATE: The Tender,,SR 150.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,10 April 2025.,2025-05-05,10:00,https://www.ntb.sc/media/tender-files/ADVERT_-_EX_LTD_Cascade_final.pdf,True,"Posted in Advertised Tenders . The Property Management Corporation invites interested contractors to tender the following project PROJECT TITLE: Re- Roofing Works On Fourteen (14) Units At Ex Ltd Cascade SOURCE OF FINANCE: PROPERTY MANAGEMENT CORPORATION (PMC) ELIGIBILITY: The following are eligible to tender under equal terms; Contractor class Two (II) certificate ONLY, having a valid license and registered to operate in Seychelles. PERFORMANCE PERIOD: Two (2) Months SALE OF TENDER DOCUMENTS & CLOSING DATE: The Tender Dossier shall be obtained from the Property Management Corporation (PMC), Cashier’s Office Room No 8 at Ocean Gate House, Victoria from Friday 11th April 2025 from 9.00am to 2.30pm upon payment of a non –refundable fee of SCR150.00 each. Deadline for obtaining the dossier shall be Thursday 17th April 2025 not later than 2.30pm. Potential Bidders shall provide a copy of the valid license, Business Registration Number/ NIN and copy of the Tax Clearance Certificate for the financial year 2025 upon purchase of the tender dossier. Potential bidder shall be allowed to inspect the tender dossier prior to purchase The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/re-roofing-works-on-fourteen-14-units-at-ex-ltd-cascade
Renovation Works On Two Blocks Of Flat At Les Mamelles,Property Management Corporation,Housing,,PROPERTY MANAGEMENT CORPORATION (PMC),"Renovation Works On Two Blocks Of Flat At Les Mamelles,",,Class Two,Five (5) Months SALE OF TENDER DOCUMENTS & CLOSING DATE: The Tender,,SR 150.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,10 April 2025.,2025-05-05,10:00,https://www.ntb.sc/media/tender-files/ADVERT_-_LES_MAMELLES_001.pdf,True,"Posted in Advertised Tenders . The Property Management Corporation invites interested contractors to tender the following project PROJECT TITLE: Renovation Works On Two Blocks Of Flat At Les Mamelles, SOURCE OF FINANCE: PROPERTY MANAGEMENT CORPORATION (PMC) ELIGIBILITY: The following are eligible to tender under equal terms; Contractor Class Two (II) and Three (III) certificate ONLY, having a valid license and registered to operate in Seychelles. PERFORMANCE PERIOD: Five (5) Months SALE OF TENDER DOCUMENTS & CLOSING DATE: The Tender Dossier shall be obtained from the Property Management Corporation (PMC), Cashier’s Office Room No 8 at Ocean Gate House, Victoria from Friday 11th April 2025 from 9.00am to 2.30pm upon payment of a non –refundable fee of SCR150.00 each. Deadline for obtaining the dossier shall be Thursday 17th April 2025 not later than 2.30pm. Potential Bidders shall provide a copy of the valid license, Business Registration Number/ NIN and copy of the Tax Clearance Certificate for the financial year 2025 upon purchase of the tender dossier. Potential bidder shall be allowed to inspect the tender dossier prior to purchase The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/renovation-works-on-two-blocks-of-flat-at-les-mamelles
Reconstruction Of Seawall At Anse Poules Blues,Seychelles Infrastructure Agency,Roads & seawalls,,Government of Seychelles,,The following are eligible to tender on equal terms. Contractors Class 1 & 2 are registered and licensed to operate in Seychelles.,Class 1,8 Calendar Weeks,"Baie Lazare, DA’s office",SR 500.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,10 April 2025.,2025-04-28,10:00,https://www.ntb.sc/media/tender-files/Advert_-_Reconstruction_of_Seawall_Anse_Poules_Blue_Baie_Lazare.pdf,True,"Posted in Advertised Tenders . Seychelles Infrastructure Agency On Behalf Of The Ministry Of Agriculture, Climate Change & Environment (Department Of Climate Change) Invitation To Tender - Reconstruction Of Seawall At Anse Poules Blues SOURCE OF FINANCE: Government of Seychelles ELIGIBILITY: The following are eligible to tender on equal terms. Contractors Class 1 & 2 are registered and licensed to operate in Seychelles. PLACE OF PERFORMANCE: Baie Lazare, DA’s office PERFORMANCE PERIOD:  8 Calendar Weeks ACCESS TO TENDER DOSSIER: The tender Dossiers can be obtained from the Seychelles Infrastructure Agency (SIA) (MLH) 2nd Floor, Independence House as of Friday 11th April 2025 from 9:00am – 2:00pm upon payment of a non-refundable fee of SCR 500.00 each. Deadline date for obtaining the dossier shall be on Thursday 17th April 2025 not later than 12:00 noon. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/reconstruction-of-seawall-at-anse-poules-blues
River Channel Diversion – Beau Vallon,SEYCHELLES INFRASTRUCTURE AGENCY,Infrastructure,,Government of Seychelles,,The following are eligible to tender on equal terms. Contractors Class 1 & 2 are registered and licensed to operate in Seychelles.,Class 1,8 Calendar Weeks,"Basketball Court, Beau - Vallon",SR 500.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,10 April 2025.,2025-04-28,10:00,https://www.ntb.sc/media/tender-files/Advert_-_River_Diversion_Beau_Vallon.pdf,True,"Posted in Advertised Tenders . SEYCHELLES INFRASTRUCTURE AGENCY ON BEHALF OF THE MINISTRY OF AGRICULTURE, CLIMATE CHANGE & ENVIRONMENT (DEPARTMENT OF CLIMATE CHANGE) INVITATION TO TENDER :  River Channel Diversion – Beau Vallon SOURCE OF FINANCE: Government of Seychelles ELIGIBILITY: The following are eligible to tender on equal terms. Contractors Class 1 & 2 are registered and licensed to operate in Seychelles. PLACE OF PERFORMANCE: Basketball Court, Beau - Vallon PERFORMANCE PERIOD:  8 Calendar Weeks ACCESS TO TENDER DOSSIER: The tender Dossiers can be obtained from the Seychelles Infrastructure Agency (SIA) (MLH) 2nd Floor, Independence House as of Friday 11th April 2025 from 9:00am – 2:00pm upon payment of a non-refundable fee of SCR 500.00 each. Deadline date for obtaining the dossier shall be on Thursday 17th April 2025 not later than 12:00 noon. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/river-channel-diversion-beau-vallon
FSA-Procurement of Office Stationery for the Year 2025,Financial Services Authority,Infrastructure,Good and Services,,,,,,,,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,04 April 2025.,2025-04-29,10:00,,False,"Posted in Advertised Tenders . The Financial Services Authority (“FSA”) is inviting all locally registered and licensed suppliers to participate in the tender for the Procurement of Office Stationery for the Year 2025. Good and Services The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/fsa-procurement-of-office-stationery-for-the-year-2025
Provision of Ground Cleaning Service at the PMC Housing Estates,Property Management Corporation,Housing,,,,,,,,Free,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,03 April 2025.,2025-04-16,10:00,https://www.ntb.sc/media/tender-files/FINAL_PMC_-_pre-qualification_document_for_Cleaning_final.pdf,True,"Posted in Advertised Tenders . The Property Management Corporation (PMC) invites applications from eligible contractors for purposes of prequalifying contractors for the “PROVISION OF GROUND CLEANING SERVICE AT THE PMC HOUSING ESTATES”. The Pre-Qualification documents containing detailed terms and conditions, can be collected free of charge, at the Property Management Corporation (PMC), Procurement Unit Room 135, Ocean Gate House (at the back of Amusement Centre) Victoria, between 9 am to 2pm, from Thursday 03rd April to Wednesday 09th April 2025. Interested eligible contractors may obtain further information from the Procurement Unit on email address This email address is being protected from spambots. You need JavaScript enabled to view it. and This email address is being protected from spambots. You need JavaScript enabled to view it. The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/provision-of-ground-cleaning-service-at-the-pmc-housing-estates
Construction Of Footpath And Installation Of Street Lights At Ile Du Port,Seychelles Land Transport Agency,Roads & seawalls,,Government of Seychelles.,,,Class 1,One hundred and Fifty (150) working days.,"Ile Du Port, Mahe.",SR 500.00,,ceo.ntb@finance.gov.sc; secretaryrp@pou.gov.sc,01 April 2025.,2025-04-24,11:00,https://www.ntb.sc/media/tender-files/Advert_-_CONSTRUCTION_OF_FOOTPATH_AND_INSTALLATION_OF_STREET_LIGHTS_Fin_.pdf,True,"Posted in Advertised Tenders . The Seychelles Land Transport Agency (SLTA) invites tenderers to tender for the “ Construction Of Footpath And Installation Of Street Lights At Ile Du Port”. The project's aim is to construct a footpath from the Helena building to the judiciary building. The project will also involve the removal of existing streetlights and the installation of new streetlights within the designated green area. These improvements will not only illuminate the pathway but also contribute to the overall safety of road users in the area The Chairman Procurement Review Panel P.O. Box  313, Room 105 Care House Building Victoria, Mahé P: (248) 4 382 000 Sylvie Gopal (Mrs) Secretary secretaryrp@pou.gov.sc",https://www.ntb.sc/tenders/construction-of-footpath-and-installation-of-street-lights-at-ile-du-port
